OUT_ID,STO_NM,SHIP_YM,SERVICE_TYPE,ORDER_CNT,BOX_TOT,WEIGHT_KG
OUT0000158,Sample FoodService 0012,2024-09,Cold Chain,30,270.098,1974.62
OUT0000159,Sample FoodService 0012,2024-10,Cold Chain,33,244.958,1385.48
OUT0000160,Sample FoodService 0012,2024-11,Standard,35,314.473,1778.49
OUT0000161,Sample FoodService 0012,2024-12,Standard,18,202.43,1944.94
OUT0000162,Sample FoodService 0012,2025-01,Priority,26,283.142,2430.57
OUT0000163,Sample FoodService 0012,2025-03,Standard,20,265.27,2201.5
OUT0000164,Sample FoodService 0012,2025-04,Cold Chain,13,160.317,649.97
OUT0000165,Sample FoodService 0012,2025-05,Standard,16,169.841,1444.19
OUT0000166,Sample FoodService 0012,2025-06,Priority,24,264.694,1786.77
OUT0000167,Sample Convenience 0013,2024-01,Standard,3,44.616,160.81
OUT0000168,Sample Convenience 0013,2024-02,Standard,3,37.963,315.77
OUT0000169,Sample Convenience 0013,2024-03,Standard,2,23.478,171.5
OUT0000170,Sample Convenience 0013,2024-04,Standard,3,45.854,283.11
OUT0000171,Sample Convenience 0013,2024-05,Standard,5,49.668,302.08
OUT0000172,Sample Convenience 0013,2024-06,Cold Chain,4,32.49,118.61
OUT0000173,Sample Convenience 0013,2024-08,Standard,3,44.481,278.33
OUT0000174,Sample Convenience 0013,2024-09,Standard,3,43.32,348.04
OUT0000175,Sample Convenience 0013,2024-10,Standard,2,17.501,91.81
OUT0000176,Sample Convenience 0013,2024-11,Standard,7,87.09,761.98
OUT0000177,Sample Convenience 0013,2024-12,Standard,11,153.415,1169.8
OUT0000178,Sample Convenience 0013,2025-01,Standard,7,55.363,466.3
OUT0000179,Sample Convenience 0013,2025-02,Standard,4,45.053,407.64
OUT0000180,Sample Convenience 0013,2025-03,Standard,3,41.32,364.46
OUT0000181,Sample Convenience 0013,2025-04,Standard,3,34.896,190.17
OUT0000182,Sample Convenience 0013,2025-05,Standard,8,80.618,490.44
OUT0000183,Sample Convenience 0013,2025-06,Cold Chain,3,41.412,154.57
OUT0000184,Sample Pharma 0014,2024-01,Priority,9,128.073,814.77
OUT0000185,Sample Pharma 0014,2024-02,Standard,8,120.893,959.39
OUT0000186,Sample Pharma 0014,2024-03,Standard,9,89.168,797.47
OUT0000187,Sample Pharma 0014,2024-04,Standard,10,127.713,1169.73
OUT0000188,Sample Pharma 0014,2024-05,Standard,8,104.576,418.97
OUT0000189,Sample Pharma 0014,2024-06,Standard,6,59.441,574.97
OUT0000190,Sample Pharma 0014,2024-07,Cold Chain,14,191.176,1537.99
OUT0000191,Sample Pharma 0014,2024-08,Standard,10,90.494,636.0
OUT0000192,Sample Pharma 0014,2024-09,Priority,8,111.809,785.09
OUT0000193,Sample Pharma 0014,2024-10,Cold Chain,8,116.941,392.06
OUT0000194,Sample Pharma 0014,2024-11,Cold Chain,18,128.865,793.72
OUT0000195,Sample Pharma 0014,2024-12,Priority,9,108.156,426.42
OUT0000196,Sample Pharma 0014,2025-01,Standard,7,84.611,555.43
OUT0000197,Sample Pharma 0014,2025-02,Standard,7,77.029,282.58
OUT0000198,Sample Pharma 0014,2025-03,Standard,16,199.66,1788.9
OUT0000199,Sample Pharma 0014,2025-04,Priority,9,89.751,724.34
OUT0000200,Sample Pharma 0014,2025-05,Standard,5,61.854,502.98
OUT0000201,Sample Pharma 0014,2025-06,Standard,9,117.606,1047.82
OUT0000202,Sample Pharma 0015,2024-01,Cold Chain,7,61.697,492.95
OUT0000203,Sample Pharma 0015,2024-02,Cold Chain,4,48.699,273.08
OUT0000204,Sample Pharma 0015,2024-05,Standard,9,114.65,386.14
OUT0000205,Sample Pharma 0015,2024-06,Priority,7,54.808,235.29
OUT0000206,Sample Pharma 0015,2024-07,Standard,5,74.377,584.11
OUT0000207,Sample Pharma 0015,2024-08,Priority,6,87.471,650.15
OUT0000208,Sample Pharma 0015,2024-09,Standard,8,95.424,522.99
OUT0000209,Sample Pharma 0015,2024-10,Priority,3,25.38,192.09
OUT0000210,Sample Pharma 0015,2024-11,Standard,4,30.836,222.16
OUT0000211,Sample Pharma 0015,2024-12,Standard,3,22.335,170.78
OUT0000212,Sample Pharma 0015,2025-01,Standard,7,91.574,812.89
OUT0000213,Sample Pharma 0015,2025-02,Standard,4,30.324,221.82
OUT0000214,Sample Pharma 0015,2025-03,Standard,3,41.856,311.11
OUT0000215,Sample Pharma 0015,2025-04,Standard,5,49.995,477.27
OUT0000216,Sample Pharma 0015,2025-06,Standard,10,123.513,523.91
OUT0000217,Sample FoodService 0016,2024-01,Standard,7,90.767,768.71
OUT0000218,Sample FoodService 0016,2024-03,Standard,10,111.998,994.34
OUT0000219,Sample FoodService 0016,2024-04,Priority,8,90.691,670.04
OUT0000220,Sample FoodService 0016,2024-06,Standard,11,118.742,735.29
OUT0000221,Sample FoodService 0016,2024-07,Standard,10,84.292,678.94
OUT0000222,Sample FoodService 0016,2024-08,Standard,10,119.867,761.66
OUT0000223,Sample FoodService 0016,2024-09,Priority,12,133.661,1243.19
OUT0000224,Sample FoodService 0016,2024-10,Cold Chain,12,123.551,718.28
OUT0000225,Sample FoodService 0016,2024-11,Standard,16,140.86,597.44
OUT0000226,Sample FoodService 0016,2024-12,Standard,16,131.006,664.2
OUT0000227,Sample FoodService 0016,2025-01,Standard,8,57.433,278.79
OUT0000228,Sample FoodService 0016,2025-02,Standard,12,85.251,615.76
OUT0000229,Sample FoodService 0016,2025-03,Standard,10,137.941,1077.62
OUT0000230,Sample FoodService 0016,2025-04,Standard,10,142.458,847.34
OUT0000231,Sample FoodService 0016,2025-05,Standard,9,109.942,580.56
OUT0000232,Sample FoodService 0016,2025-06,Standard,5,61.102,514.72
OUT0000233,Sample FoodService 0017,2024-01,Cold Chain,10,136.118,455.34
OUT0000234,Sample FoodService 0017,2024-02,Standard,8,99.279,542.82
OUT0000235,Sample FoodService 0017,2024-03,Standard,6,86.072,452.85
OUT0000236,Sample FoodService 0017,2024-04,Priority,9,73.861,409.73
OUT0000237,Sample FoodService 0017,2024-05,Standard,6,54.264,300.82
OUT0000238,Sample FoodService 0017,2024-06,Priority,7,80.731,684.02
OUT0000239,Sample FoodService 0017,2024-09,Standard,6,53.959,442.24
OUT0000240,Sample FoodService 0017,2024-11,Cold Chain,5,56.967,366.3
OUT0000241,Sample FoodService 0017,2024-12,Standard,7,77.757,347.58
OUT0000242,Sample FoodService 0017,2025-01,Standard,6,43.972,332.71
OUT0000243,Sample FoodService 0017,2025-04,Cold Chain,5,60.494,265.81
OUT0000244,Sample FoodService 0017,2025-05,Standard,5,51.604,210.69
OUT0000245,Sample FoodService 0017,2025-06,Standard,8,72.946,249.33
OUT0000246,Sample Convenience 0018,2024-01,Standard,10,78.089,558.39
OUT0000247,Sample Convenience 0018,2024-02,Standard,6,45.506,219.26
OUT0000248,Sample Convenience 0018,2024-03,Standard,11,95.803,721.06
OUT0000249,Sample Convenience 0018,2024-04,Standard,11,120.784,894.24
OUT0000250,Sample Convenience 0018,2024-05,Standard,10,117.205,1040.2
OUT0000251,Sample Convenience 0018,2024-06,Standard,10,96.363,672.17
OUT0000252,Sample Convenience 0018,2024-07,Standard,6,82.587,306.48
OUT0000253,Sample Convenience 0018,2024-09,Standard,10,96.253,374.27
OUT0000254,Sample Convenience 0018,2024-10,Standard,11,149.592,1431.84
OUT0000255,Sample Convenience 0018,2024-11,Cold Chain,11,97.603,684.63
OUT0000256,Sample Convenience 0018,2024-12,Cold Chain,12,177.908,1317.79
OUT0000257,Sample Convenience 0018,2025-01,Standard,10,108.654,834.08
OUT0000258,Sample Convenience 0018,2025-03,Priority,14,165.676,586.46
OUT0000259,Sample Convenience 0018,2025-04,Standard,5,49.439,176.99
OUT0000260,Sample Convenience 0018,2025-05,Standard,7,77.67,705.59
OUT0000261,Sample Convenience 0018,2025-06,Standard,5,56.377,434.38
OUT0000262,Sample E-commerce 0019,2024-01,Standard,11,84.099,629.91
OUT0000263,Sample E-commerce 0019,2024-02,Standard,10,84.928,820.8
OUT0000264,Sample E-commerce 0019,2024-03,Cold Chain,10,146.323,1171.1
OUT0000265,Sample E-commerce 0019,2024-04,Standard,9,73.229,544.3
OUT0000266,Sample E-commerce 0019,2024-05,Standard,13,149.332,512.01
OUT0000267,Sample E-commerce 0019,2024-06,Priority,7,77.781,647.57
OUT0000268,Sample E-commerce 0019,2024-07,Standard,9,88.465,861.58
OUT0000269,Sample E-commerce 0019,2024-08,Standard,16,121.292,790.86
OUT0000270,Sample E-commerce 0019,2024-09,Priority,11,122.813,452.98
OUT0000271,Sample E-commerce 0019,2024-10,Standard,21,184.555,856.5
OUT0000272,Sample E-commerce 0019,2024-11,Standard,9,104.539,528.17
OUT0000273,Sample E-commerce 0019,2024-12,Cold Chain,11,129.082,522.9
OUT0000274,Sample E-commerce 0019,2025-01,Standard,12,156.314,1005.07
OUT0000275,Sample E-commerce 0019,2025-02,Standard,8,106.386,405.19
OUT0000276,Sample E-commerce 0019,2025-03,Standard,5,37.819,231.77
OUT0000277,Sample E-commerce 0019,2025-04,Standard,10,104.36,486.39
OUT0000278,Sample E-commerce 0019,2025-05,Priority,13,184.171,1127.41
OUT0000279,Sample E-commerce 0019,2025-06,Standard,11,92.412,348.59
OUT0000280,Sample Convenience 0020,2024-01,Cold Chain,3,30.339,137.05
OUT0000281,Sample Convenience 0020,2024-02,Standard,1,9.127,69.36
OUT0000282,Sample Convenience 0020,2024-04,Priority,2,24.798,146.27
OUT0000283,Sample Convenience 0020,2024-05,Standard,1,11.494,65.8
OUT0000284,Sample Convenience 0020,2024-06,Cold Chain,4,30.175,281.6
OUT0000285,Sample Convenience 0020,2024-07,Standard,2,23.271,92.27
OUT0000286,Sample Convenience 0020,2024-08,Standard,3,45.793,224.44
OUT0000287,Sample Convenience 0020,2024-09,Standard,3,30.081,254.52
OUT0000288,Sample Convenience 0020,2024-10,Standard,2,25.927,84.54
OUT0000289,Sample Convenience 0020,2024-11,Cold Chain,3,46.315,424.41
OUT0000290,Sample Convenience 0020,2024-12,Standard,2,28.09,192.94
OUT0000291,Sample Convenience 0020,2025-01,Cold Chain,3,22.633,147.16
OUT0000292,Sample Convenience 0020,2025-02,Standard,2,27.547,178.11
OUT0000293,Sample Convenience 0020,2025-03,Standard,2,24.458,174.2
OUT0000294,Sample Convenience 0020,2025-04,Cold Chain,2,15.43,101.61
OUT0000295,Sample Convenience 0020,2025-05,Standard,4,32.17,122.57
OUT0000296,Sample Convenience 0020,2025-06,Cold Chain,2,18.8,182.54
OUT0000297,Sample Retail 0021,2024-02,Priority,19,231.606,2051.14
OUT0000298,Sample Retail 0021,2024-04,Standard,18,160.124,563.89
OUT0000299,Sample Retail 0021,2024-05,Standard,12,128.708,695.72
OUT0000300,Sample Retail 0021,2024-06,Priority,23,297.739,2588.22
OUT0000301,Sample Retail 0021,2024-07,Standard,15,131.351,874.05
OUT0000302,Sample Retail 0021,2024-08,Standard,17,216.262,2035.53
OUT0000303,Sample Retail 0021,2024-09,Standard,17,192.88,1160.77
OUT0000304,Sample Retail 0021,2024-10,Standard,9,106.238,803.08
OUT0000305,Sample Retail 0021,2024-11,Cold Chain,23,349.847,1524.55
OUT0000306,Sample Retail 0021,2025-05,Standard,18,191.407,1805.01
OUT0000307,Sample Retail 0021,2025-06,Standard,10,108.332,441.27
OUT0000308,Sample Retail 0022,2024-01,Standard,8,71.256,261.56
OUT0000309,Sample Retail 0022,2024-02,Standard,8,115.626,452.19
OUT0000310,Sample Retail 0022,2024-03,Standard,13,127.41,869.2
OUT0000311,Sample Retail 0022,2024-04,Priority,12,128.797,495.09
OUT0000312,Sample Retail 0022,2024-05,Standard,6,91.157,349.18
OUT0000313,Sample Retail 0022,2024-06,Standard,8,88.611,653.58
OUT0000314,Sample Retail 0022,2024-07,Standard,9,123.145,1048.56
OUT0000315,Sample Retail 0022,2024-08,Priority,11,164.554,1137.88
OUT0000316,Sample Retail 0022,2024-09,Priority,7,92.627,622.8
OUT0000317,Sample Retail 0022,2024-10,Priority,7,64.475,228.58
OUT0000318,Sample Retail 0022,2024-11,Standard,18,139.833,723.08
OUT0000319,Sample Retail 0022,2024-12,Standard,16,235.57,1430.94
OUT0000320,Sample Retail 0022,2025-01,Standard,9,108.783,519.98
OUT0000321,Sample Retail 0022,2025-02,Standard,5,37.147,304.0
OUT0000322,Sample Retail 0022,2025-03,Standard,5,61.812,225.23
OUT0000323,Sample Retail 0022,2025-04,Standard,6,49.752,172.73
OUT0000324,Sample Retail 0022,2025-05,Standard,21,207.314,1575.61
OUT0000325,Sample Retail 0022,2025-06,Standard,11,78.775,300.42
OUT0000326,Sample E-commerce 0023,2024-01,Cold Chain,10,115.91,917.09
OUT0000327,Sample E-commerce 0023,2024-02,Cold Chain,10,73.07,351.39
OUT0000328,Sample E-commerce 0023,2024-04,Cold Chain,13,166.79,1004.8
OUT0000329,Sample E-commerce 0023,2024-05,Standard,14,176.802,1413.51
OUT0000330,Sample E-commerce 0023,2024-06,Cold Chain,20,296.111,2026.17
OUT0000331,Sample E-commerce 0023,2024-07,Standard,28,405.314,1345.26
OUT0000332,Sample E-commerce 0023,2024-08,Standard,26,235.745,1446.19
OUT0000333,Sample E-commerce 0023,2024-11,Cold Chain,25,199.679,1388.4
OUT0000334,Sample E-commerce 0023,2024-12,Standard,28,358.662,3256.42
OUT0000335,Sample E-commerce 0023,2025-01,Standard,14,213.014,965.03
OUT0000336,Sample E-commerce 0023,2025-02,Priority,12,138.318,1151.17
OUT0000337,Sample E-commerce 0023,2025-03,Cold Chain,19,282.523,2035.43
OUT0000338,Sample E-commerce 0023,2025-04,Standard,15,169.406,925.22
OUT0000339,Sample E-commerce 0023,2025-05,Cold Chain,15,181.422,643.78
OUT0000340,Sample E-commerce 0023,2025-06,Standard,11,109.022,656.16
OUT0000341,Sample Pharma 0024,2024-01,Standard,4,36.241,303.12
OUT0000342,Sample Pharma 0024,2024-02,Standard,5,67.345,608.43
OUT0000343,Sample Pharma 0024,2024-03,Standard,6,92.874,555.78
OUT0000344,Sample Pharma 0024,2024-05,Standard,12,119.291,835.37
OUT0000345,Sample Pharma 0024,2024-06,Standard,4,31.403,223.97
OUT0000346,Sample Pharma 0024,2024-07,Priority,6,65.537,515.8
OUT0000347,Sample Pharma 0024,2024-08,Standard,5,57.287,288.83
OUT0000348,Sample Pharma 0024,2024-09,Priority,5,52.553,228.97
OUT0000349,Sample Pharma 0024,2024-10,Standard,5,50.153,410.19
OUT0000350,Sample Pharma 0024,2024-12,Standard,6,72.012,347.12
OUT0000351,Sample Pharma 0024,2025-01,Standard,4,46.016,221.68
OUT0000352,Sample Pharma 0024,2025-02,Standard,6,77.206,292.92
OUT0000353,Sample Pharma 0024,2025-03,Standard,4,43.746,235.66
OUT0000354,Sample Pharma 0024,2025-04,Standard,3,22.171,150.79
OUT0000355,Sample Pharma 0024,2025-05,Standard,6,58.333,214.39
OUT0000356,Sample FoodService 0025,2024-01,Standard,16,182.78,1060.45
OUT0000357,Sample FoodService 0025,2024-02,Priority,6,55.06,354.15
OUT0000358,Sample FoodService 0025,2024-03,Standard,8,78.197,397.18
OUT0000359,Sample FoodService 0025,2024-04,Standard,16,153.669,1083.12
OUT0000360,Sample FoodService 0025,2024-05,Standard,11,109.029,579.96
OUT0000361,Sample FoodService 0025,2024-06,Standard,6,61.665,327.39
OUT0000362,Sample FoodService 0025,2024-07,Standard,7,68.271,347.24
OUT0000363,Sample FoodService 0025,2024-08,Standard,12,174.762,672.35
OUT0000364,Sample FoodService 0025,2024-09,Standard,9,136.306,997.01
